Company name,ASX code,GICS industry group,GICS Industry (Sub-Level),Share Price (AUD),Market Cap (Billion AUD),Outstanding Shares (Billion)
AUSTRALIS OIL & GAS LIMITED,ATS,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
AUTOSPORTS GROUP LIMITED.,ASG,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
AVA RISK GROUP LIMITED,AVA,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
AVADA GROUP LIMITED,AVD,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
AVECHO BIOTECHNOLOGY LIMITED,AVE,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
AVENIRA LIMITED,AEV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AVIRA RESOURCES LTD,AVW,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AVITA MEDICAL INC.,AVH,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
AXEL REE LIMITED,AXL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AXP ENERGY LIMITED,AXP,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
AXTEC LIMITED,AXI,Real Estate Management & Development,Real Estate Management & Development,,,
BABY BUNTING GROUP LIMITED,BBN,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
BABYLON PUMP & POWER LIMITED,BPP,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
BAILADOR TECHNOLOGY INVESTMENTS LIMITED,BTI,Financial Services,Diversified Financials; Capital Markets,,,
BALLARD MINING LIMITED,BM1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BALLYMORE RESOURCES LIMITED,BMR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BANCO SANTANDER S.A.,B01,Not Applic,Other/Not Applicable,,,
BANK OF QUEENSLAND LIMITED.,BOQ,Banks,Banks,,,
BANNERMAN ENERGY LTD,BMN,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BAPCOR LIMITED,BAP,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
BARKLY RARE EARTHS LIMITED,BAK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BARTON GOLD HOLDINGS LIMITED,BGD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BARYS RESOURCES LIMITED,BRY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BASIN ENERGY LIMITED,BSN,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BASS OIL LIMITED,BAS,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BATHURST RESOURCES LIMITED.,BRL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BATTERY AGE MINERALS LTD,BM8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BAUMART HOLDINGS LIMITED,BMH,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
BAYAN MINING AND MINERALS LIMITED,BMM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BCAL DIAGNOSTICS LIMITED,BDX,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
BCI MINERALS LIMITED,BCI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BEACH ENERGY LIMITED,BPT,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BEACON LIGHTING GROUP LIMITED,BLX,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
BEACON MINERALS LIMITED,BCN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BEAM COMMUNICATIONS HOLDINGS LIMITED,BCC,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
BEAMTREE HOLDINGS LIMITED,BMT,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
BEETALOO ENERGY AUSTRALIA LIMITED,BTL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BEFOREPAY GROUP LIMITED,B4P,Financial Services,Diversified Financials; Capital Markets,,,
BEGA CHEESE LIMITED,BGA,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
BELARAROX LIMITED,BRX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BELL FINANCIAL GROUP LIMITED,BFG,Financial Services,Diversified Financials; Capital Markets,,,
BELLAVISTA RESOURCES LTD,BVR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BELLEVUE GOLD LIMITED,BGL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BENDIGO AND ADELAIDE BANK LIMITED,BEN,Banks,Banks,,,
BENJAMIN HORNIGOLD LIMITED,BHD,Not Applic,Other/Not Applicable,,,
BENTLEY CAPITAL LIMITED,BEL,Not Applic,Other/Not Applicable,,,
BENZ MINING CORP.,BNZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BEONIC LTD,BEO,Software & Services,IT Services; Software,,,
BERKELEY ENERGIA LIMITED,BKY,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BESRA GOLD INC.,BEZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BETMAKERS TECHNOLOGY GROUP LTD,BET,Consumer Services,"Hotels, Restaurants & Leisure",,,
BETR ENTERTAINMENT LIMITED,BBT,Consumer Services,"Hotels, Restaurants & Leisure",,,
BHAGWAN MARINE LIMITED,BWN,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
BIG RIVER INDUSTRIES LIMITED,BRI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BINDI METALS LIMITED,BIM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BIO-GENE TECHNOLOGY LTD,BGT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BIOME AUSTRALIA LIMITED,BIO,Household & Personal Products,Household Products; Personal Products,,,
BIOTRON LIMITED,BIT,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
BIOXYNE LIMITED,BXN,Household & Personal Products,Household Products; Personal Products,,,
BISALLOY STEEL GROUP LIMITED,BIS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BISON RESOURCES LIMITED,BSR,Class Pend,Other/Not Applicable,,,
BKI INVESTMENT COMPANY LIMITED,BKI,Not Applic,Other/Not Applicable,,,
BLACK BEAR MINERALS LIMITED,BKB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BLACK CANYON LIMITED,BCA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BLACK CAT SYNDICATE LIMITED,BC8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BLACK HORSE MINING LIMITED,BHL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BLACK PEARL GROUP LIMITED,BPG,Software & Services,IT Services; Software,,,
BLACK ROCK MINING LIMITED,BKT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BLACKSTONE MINERALS LIMITED,BSX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BLACKWALL LIMITED,BWF,Financial Services,Diversified Financials; Capital Markets,,,
BLACKWATTLE SERIES RMBS TRUST NO.6,BW6,Not Applic,Other/Not Applicable,,,
BLAZE MINERALS LIMITED,BLZ,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BLINKLAB LIMITED,BB1,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
"BLOCK, INC.",XYZ,Financial Services,Diversified Financials; Capital Markets,,,
BLUE ENERGY LIMITED.,BLU,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BLUE STAR HELIUM LIMITED,BNL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BLUESCOPE STEEL LIMITED,BSL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BLUESTONE PRIME 2024-1 TRUST,BS1,Not Applic,Other/Not Applicable,,,
BLUGLASS LIMITED,BLG,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,,
BMC MINERALS LTD.,BMC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BMG RESOURCES LIMITED,BMG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BNK BANKING CORPORATION LIMITED,BBC,Banks,Banks,,,
BOA RESOURCES LTD,BOA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BOAB METALS LIMITED,BML,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BOOM LOGISTICS LIMITED,BOL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
BOSS ENERGY LTD,BOE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BOTALA ENERGY LTD,BTE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BOTANIX PHARMACEUTICALS LTD,BOT,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
BOUGAINVILLE COPPER LIMITED,BOC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BOUNTY OIL & GAS NL,BUY,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BOWEN COKING COAL LIMITED,BCB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BP CAPITAL MARKETS P.L.C.,BP1,Not Applic,Other/Not Applicable,,,
BPH ENERGY LTD,BPH,Financial Services,Diversified Financials; Capital Markets,,,
BPH GLOBAL LTD,BP8,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
BPM MINERALS LIMITED,BPM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BRAINCHIP HOLDINGS LTD,BRN,Software & Services,IT Services; Software,,,
BRAVURA SOLUTIONS LIMITED.,BVS,Software & Services,IT Services; Software,,,
BRAZILIAN CRITICAL MINERALS LIMITED,BCM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BRAZILIAN RARE EARTHS LIMITED,BRE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BREAKTHROUGH MINERALS LIMITED,BTM,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BREVILLE GROUP LIMITED,BRG,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
BRIDGE SAAS LIMITED,BGE,Software & Services,IT Services; Software,,,
BRIGHTSTAR RESOURCES LIMITED,BTR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BRISBANE BRONCOS LIMITED,BBL,Media & Entertainment,Media; Entertainment,,,
BRISCOE GROUP AUSTRALASIA LIMITED,BGP,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
BROCKMAN MINING LIMITED,BCK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BROKEN HILL MINES LIMITED,BHM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BROOKSIDE ENERGY LIMITED,BRK,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BSA LIMITED,BSA,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
BSP FINANCIAL GROUP LIMITED,BFL,Banks,Banks,,,
BTC HEALTH LTD,BTC,Not Applic,Other/Not Applicable,,,
BUBALUS RESOURCES LIMITED,BUS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BUBS AUSTRALIA LIMITED,BUB,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
BULLETIN RESOURCES LIMITED,BNR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BURGUNDY DIAMOND MINES LIMITED,BDM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BURLEY MINERALS LTD,BUR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BURU ENERGY LIMITED,BRU,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
BUTN LIMITED,BTN,Financial Services,Diversified Financials; Capital Markets,,,
BUXTON RESOURCES LIMITED,BUX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
BWP GROUP,BWP,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
C29 METALS LIMITED,C29,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CADENCE CAPITAL LIMITED,CDM,Not Applic,Other/Not Applicable,,,
CADENCE OPPORTUNITIES FUND LIMITED.,CDO,Not Applic,Other/Not Applicable,,,
CADOUX LIMITED,CCM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CAISSE FRANCAISE DE FINANCEMENT LOCAL,DXA,Not Applic,Other/Not Applicable,,,
CALIX LIMITED,CXL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CAMBIUM BIO LIMITED,CMB,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
CAMPLIFY HOLDINGS LIMITED,CHL,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
CANADIAN PHOSPHATE LIMITED,CP8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CANN GROUP LIMITED,CAN,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
CANNINDAH RESOURCES LIMITED,CAE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CANTERBURY RESOURCES LIMITED,CBY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CANYON RESOURCES LIMITED,CAY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CAPRAL LIMITED,CAA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CAPRICE RESOURCES LTD,CRS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CAPRICORN METALS LTD,CMM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CAPSTONE COPPER CORP.,CSC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CAQ HOLDINGS LIMITED,CAQ,Real Estate Management & Development,Real Estate Management & Development,,,
CAR GROUP LIMITED,CAR,Media & Entertainment,Media; Entertainment,,,
CARAVEL MINERALS LIMITED,CVV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CARBINE RESOURCES LIMITED,CRB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CARBONXT GROUP LIMITED,CG1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CARETEQ LIMITED,CTQ,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
CARINDALE PROPERTY TRUST,CDP,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
CARLTON INVESTMENTS LIMITED,CIN,Not Applic,Other/Not Applicable,,,
CARMA LIMITED,CMA,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
CARNABY RESOURCES LIMITED,CNB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CARNARVON ENERGY LIMITED,CVN,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
CARNAVALE RESOURCES LIMITED,CAV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CARNEGIE CLEAN ENERGY LIMITED,CCE,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
CASH CONVERTERS INTERNATIONAL,CCV,Financial Services,Diversified Financials; Capital Markets,,,
CASPIN RESOURCES LIMITED,CPN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CASSIUS MINING LIMITED,CMD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CASTILE RESOURCES LTD,CST,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CASTLE MINERALS LIMITED,CDT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CATALINA RESOURCES LTD,CTN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CATALYST METALS LIMITED,CYL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CATAPULT SPORTS LTD,CAT,Software & Services,IT Services; Software,,,
CAULDRON ENERGY LIMITED,CXU,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
CAVALIER RESOURCES LIMITED,CVR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CAZALY RESOURCES LIMITED,CAZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CD PRIVATE EQUITY FUND I,CD1,Not Applic,Other/Not Applicable,,,
CD PRIVATE EQUITY FUND II,CD2,Not Applic,Other/Not Applicable,,,
CD PRIVATE EQUITY FUND III,CD3,Not Applic,Other/Not Applicable,,,
CEDAR WOODS PROPERTIES LIMITED,CWP,Real Estate Management & Development,Real Estate Management & Development,,,
CELSIUS RESOURCES LIMITED.,CLA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CENTAURUS METALS LIMITED,CTM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CENTRAL PETROLEUM LIMITED,CTP,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
CENTREPOINT ALLIANCE LIMITED,CAF,Financial Services,Diversified Financials; Capital Markets,,,
CENTURIA CAPITAL GROUP,CNI,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
CENTURIA INDUSTRIAL REIT,CIP,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
CENTURIA OFFICE REIT,COF,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
CETTIRE LIMITED,CTT,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
CGN RESOURCES LIMITED,CGR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CHALICE MINING LIMITED,CHN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CHALLENGER GOLD LIMITED,CEL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CHALLENGER IM CAPITAL LIMITED,CIM,Not Applic,Other/Not Applicable,,,
CHALLENGER LIMITED,CGF,Financial Services,Diversified Financials; Capital Markets,,,
CHAMPION IRON LIMITED,CIA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CHANGE FINANCIAL LIMITED,CCA,Financial Services,Diversified Financials; Capital Markets,,,
CHANNEL INFRASTRUCTURE NZ LIMITED,CHI,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
CHARGER METALS NL,CHR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CHARIOT RESOURCES LTD,CC9,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CHARTER HALL GROUP,CHC,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
CHARTER HALL LONG WALE REIT,CLW,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
CHARTER HALL RETAIL REIT,CQR,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
CHARTER HALL SOCIAL INFRASTRUCTURE REIT,CQE,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
CHEMX MATERIALS LIMITED,CMX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CHILWA MINERALS LTD,CHW,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CHIMERIC THERAPEUTICS LIMITED,CHM,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
CHORUS LIMITED,CNU,Telecommunication Services,Diversified Telecommunication Services,,,
CHRYSOS CORPORATION LIMITED,C79,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
CITIGOLD CORPORATION LIMITED,CTO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CITY CHIC COLLECTIVE LIMITED,CCX,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
CIVMEC LIMITED,CVL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
CL8 HOLDINGS LIMITED,CL8,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
CLARA RESOURCES AUSTRALIA LTD,C7A,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CLARITY PHARMACEUTICALS LTD,CU6,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
CLASSIC MINERALS LTD,CLZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CLEAN TEQ WATER LIMITED,CNQ,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
CLEANSPACE HOLDINGS LIMITED,CSX,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
CLEARVIEW WEALTH LIMITED,CVW,Insurance,Insurance,,,
CLEARVUE TECHNOLOGIES LIMITED,CPV,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
CLEO DIAGNOSTICS LTD,COV,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
CLEVER CULTURE SYSTEMS LIMITED,CC5,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
CLIME CAPITAL LIMITED,CAM,Not Applic,Other/Not Applicable,,,
CLIME INVESTMENT MANAGEMENT LTD,CIW,Financial Services,Diversified Financials; Capital Markets,,,
CLINUVEL PHARMACEUTICALS LIMITED,CUV,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
CLOSE THE LOOP LTD.,CLG,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
CLOVER CORPORATION LIMITED,CLV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CLUEY LTD,CLU,Consumer Services,"Hotels, Restaurants & Leisure",,,
COAST ENTERTAINMENT HOLDINGS LIMITED,CEH,Consumer Services,"Hotels, Restaurants & Leisure",,,
COBALT BLUE HOLDINGS LIMITED,COB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
COBRAM ESTATE OLIVES LIMITED,CBO,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
COBRE LIMITED,CBE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
COCHLEAR LIMITED,COH,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
CODA MINERALS LTD,COD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CODAN LIMITED,CDA,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
CODEIFAI LIMITED,CDE,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
CODRUS MINERALS LIMITED,CDR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
COG FINANCIAL SERVICES LIMITED,COG,Financial Services,Diversified Financials; Capital Markets,,,
COGSTATE LTD,CGS,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
COKAL LIMITED,CKA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
COLLINS FOODS LIMITED,CKF,Consumer Services,"Hotels, Restaurants & Leisure",,,
COMET RIDGE LIMITED,COI,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
COMMS GROUP LTD,CCG,Telecommunication Services,Diversified Telecommunication Services,,,
COMPLII FINTECH SOLUTIONS LTD,CF1,Software & Services,IT Services; Software,,,
COMPUMEDICS LIMITED,CMP,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
COMPUTERSHARE LIMITED.,CPU,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
CONDOR ENERGY LIMITED,CND,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
CONICO LTD,CNJ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CONNECTED MINERALS LIMITED,CML,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
CONNEQT HEALTH LIMITED,CQT,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
CONNEXION MOBILITY LTD,CXZ,Software & Services,IT Services; Software,,,
CONRAD ASIA ENERGY LTD.,CRD,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
CONSTELLATION RESOURCES LIMITED,CR1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CONSTELLATION TECHNOLOGIES LIMITED,CT1,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
CONTACT ENERGY LIMITED,CEN,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
CONTROL BIONICS LIMITED,CBL,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
COOPER METALS LIMITED,CPM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
COPPERMOLY LIMITED,COY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CORAZON MINING LIMITED,CZN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CORE ENERGY MINERALS LTD,CR3,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CORE LITHIUM LTD,CXO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CORELLA RESOURCES LTD,CR9,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CORONADO GLOBAL RESOURCES INC.,CRN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CORPORATE TRAVEL MANAGEMENT LIMITED,CTD,Consumer Services,"Hotels, Restaurants & Leisure",,,
COSMO METALS LIMITED,CMO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
COSMOS EXPLORATION LIMITED,C1X,Materials,Chemicals; Construction Materials; Metals & Mining,,,
COSOL LIMITED,COS,Software & Services,IT Services; Software,,,
COUNT LIMITED,CUP,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
COVENTRY GROUP LIMITED,CYG,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
CPT GLOBAL LIMITED,CGO,Software & Services,IT Services; Software,,,
CREDIT CLEAR LIMITED,CCR,Software & Services,IT Services; Software,,,
CREDIT CORP GROUP LIMITED,CCP,Financial Services,Diversified Financials; Capital Markets,,,
CRITICA LIMITED,CRI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CRITICAL MINERALS GROUP LIMITED,CMG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CRITICAL RESOURCES LIMITED,CRR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CROMWELL PROPERTY GROUP,CMW,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
CRYOSITE LIMITED,CTE,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
CSL FINANCE PLC,CPL,Not Applic,Other/Not Applicable,,,
CTI LOGISTICS LIMITED,CLX,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
CUE ENERGY RESOURCES LIMITED,CUE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
CUFE LTD,CUF,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CULLEN RESOURCES LIMITED,CUL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CULPEO MINERALS LIMITED,CPO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CURVEBEAM AI LIMITED,CVB,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
CUSCAL LIMITED,CCL,Financial Services,Diversified Financials; Capital Markets,,,
CVC LIMITED,CVC,Financial Services,Diversified Financials; Capital Markets,,,
CYCLIQ GROUP LTD,CYQ,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
CYCLOPHARM LIMITED,CYC,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
CYGNUS METALS LIMITED,CY5,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CYNATA THERAPEUTICS LIMITED,CYP,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
CYPRIUM METALS LIMITED,CYM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
CZR RESOURCES LTD,CZR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
D3 ENERGY LIMITED,D3E,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
DALAROO METALS LTD,DAL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
